DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
99, 0.333223, 0.407415, 0.4627, 0.506074, 0.541295, 0.570615, 0.595489, 0.616909, 0.635577, 0.65201, 
100, 0.333371, 0.407581, 0.462871, 0.506246, 0.541465, 0.57078, 0.595649, 0.617063, 0.635725, 0.652155, 
101, 0.333227, 0.407437, 0.462736, 0.506122, 0.541352, 0.570679, 0.595557, 0.616979, 0.63565, 0.652087, 
102, 0.333396, 0.407651, 0.462988, 0.506407, 0.541666, 0.571018, 0.595918, 0.617361, 0.63605, 0.652503, 
103, 0.333317, 0.407496, 0.462783, 0.506168, 0.541404, 0.57074, 0.595631, 0.617067, 0.635753, 0.652205, 
104, 0.333368, 0.407599, 0.462916, 0.506322, 0.54157, 0.570916, 0.595814, 0.617257, 0.63595, 0.652408, 
105, 0.333336, 0.407579, 0.462919, 0.506343, 0.541607, 0.570964, 0.595871, 0.61732, 0.636016, 0.652478, 
106, 0.333337, 0.407589, 0.462928, 0.506353, 0.541619, 0.57098, 0.595891, 0.617345, 0.636047, 0.652514, 
107, 0.333318, 0.407569, 0.462917, 0.506352, 0.541627, 0.570996, 0.595916, 0.617379, 0.636091, 0.652569, 
108, 0.333345, 0.407589, 0.462927, 0.506355, 0.541627, 0.570996, 0.595917, 0.617384, 0.636099, 0.652582, 
109, 0.333302, 0.407541, 0.462868, 0.506284, 0.541547, 0.570908, 0.595824, 0.617287, 0.636, 0.65248, 
110, 0.333395, 0.407684, 0.463046, 0.506491, 0.541777, 0.57116, 0.596094, 0.617573, 0.636302, 0.652796, 
111, 0.333216, 0.407458, 0.462797, 0.50623, 0.541513, 0.570897, 0.595839, 0.617328, 0.636068, 0.652576, 
112, 0.333312, 0.407595, 0.462969, 0.506429, 0.541729, 0.571125, 0.596072, 0.617564, 0.636305, 0.652812, 
113, 0.333234, 0.40748, 0.462834, 0.506286, 0.541585, 0.570985, 0.595939, 0.617439, 0.63619, 0.652709, 
114, 0.333339, 0.407607, 0.46296, 0.506402, 0.54169, 0.571077, 0.596019, 0.617508, 0.636249, 0.652759, 
115, 0.333234, 0.407563, 0.462962, 0.506438, 0.541752, 0.571161, 0.596121, 0.617625, 0.636379, 0.652899, 
116, 0.33339, 0.40768, 0.463056, 0.50652, 0.541829, 0.571237, 0.596198, 0.617705, 0.636463, 0.652989, 
117, 0.33328, 0.407585, 0.462969, 0.506439, 0.541754, 0.571167, 0.596136, 0.617653, 0.63642, 0.652957, 
